			Номер страницы		SLP1		SLP1		IAST  + фopмa		RUS		ENG		CHEH	
<L>	2679	<pc>	116	<K1>	tadDita	</K1><K2>	tadDita	</K2>@<K2>	taddhita n.	</K2><p><LANG n = "RUSSIAN">	суффикс, образующий имя существительное от других имен существительных; имя, таким способом образованное	</LANG><p><LANG n = "ENGLISH">	a suffix forming nouns from other nouns; noun formed in this way	</LANG><p><LANG n = "CZECH">	suffix tvořící substantiva od jiných substantiv; jméno takto tvořené	<p>@<LEND>
<L>	2680	<pc>	116	<K1>	tadrUpa	</K1><K2>	tadrUpa	</K2>@<K2>	tadrūpa	</K2><p><LANG n = "RUSSIAN">	такого рода	</LANG><p><LANG n = "ENGLISH">	thus formed, looking thus 	</LANG><p><LANG n = "CZECH">	takové podoby	<p>@<LEND>
<L>	2681	<pc>	116	<K1>	tadvat	</K1><K2>	tadvat	</K2>@<K2>	tadvat adv.	</K2><p><LANG n = "RUSSIAN">	так, одинаково, подобно	</LANG><p><LANG n = "ENGLISH">	in this way, likewise	</LANG><p><LANG n = "CZECH">	takto, stejně, podobně	<p>@<LEND>
<L>	2682	<pc>	116	<K1>	tan	</K1><K2>	tan	</K2>@<K2>	I √tan tanoti, tanute, pp. tata	</K2><p><LANG n = "RUSSIAN">	напрягать (ся), натягивать (ся), тянуть (ся), распространять (ся), простирать (ся), доходить, исполнять	</LANG><p><LANG n = "ENGLISH">	to stretch (trans. or intr.), extend, spread, endure, perform	</LANG><p><LANG n = "CZECH">	napínati (se), táhnouti (se), šířiti (se), sahati, prováděti	<p>@<LEND>
<L>	2683	<pc>	116	<K1>	Atan	</K1><K2>	Atan	</K2>@<K2>	 +ā (ātan) 	</K2><p><LANG n = "RUSSIAN">	распространяться, заполнять; натягивать (лук), показывать	</LANG><p><LANG n = "ENGLISH">	tu spread over, overspread, fill; stretch (a bow), show	</LANG><p><LANG n = "CZECH">	šířiti se, rozkládati se, plniti; napínati (luk), ukazovati	<p>@<LEND>
<L>	2684	<pc>	116	<K1>	vitan	</K1><K2>	vitan	</K2>@<K2>	 +vi (vitan) 	</K2><p><LANG n = "RUSSIAN">	простираться через что-нибудь, покрывать; натягивать, протягивать, растягивать	</LANG><p><LANG n = "ENGLISH">	to spread over, cover; stretch out, extend, diffuse	</LANG><p><LANG n = "CZECH">	šířiti se přes něco, pokrývati; natahovati, šířiti, roztahovati	<p>@<LEND>
<L>	2685	<pc>	116	<K1>	saMtan	</K1><K2>	saMtan	</K2>@<K2>	 +sam (saṃtan) 	</K2><p><LANG n = "RUSSIAN">	соединять, прибавлять, протягивать, исполнять; соединяться, держаться вместе	</LANG><p><LANG n = "ENGLISH">	to connect, add, annex, protract, perform; hold together (intr.) 	</LANG><p><LANG n = "CZECH">	spojovati, přidávati, protahovati, prováděti; spojovati se, držeti pohromadě	<p>@<LEND>
<L>	2686	<pc>	116	<K1>	tan	</K1><K2>	tan	</K2>@<K2>	II √tan tanyati	</K2><p><LANG n = "RUSSIAN">	греметь, рычать	</LANG><p><LANG n = "ENGLISH">	to resound, roar	</LANG><p><LANG n = "CZECH">	duněti, hučeti	<p>@<LEND>
<L>	2687	<pc>	117	<K1>	tanaya	</K1><K2>	tanaya	</K2>@<K2>	tanaya	</K2><p><LANG n = "RUSSIAN">	продолжатель (рода); m. сын; f. -ā дочь; n. потомство	</LANG><p><LANG n = "ENGLISH">	propagating a family; m. son; f. -ā daughter; n. offspring	</LANG><p><LANG n = "CZECH">	pokračovatel (rodu); m. syn; f. -ā dcera; n. potomstvo	<p>@<LEND>
<L>	2688	<pc>	117	<K1>	tanu	</K1><K2>	tanu	</K2>@<K2>	I tanu (f. -u, -ū, -vī) 	</K2><p><LANG n = "RUSSIAN">	тонкий, хрупкий, нежный	</LANG><p><LANG n = "ENGLISH">	thin, slender, fine	</LANG><p><LANG n = "CZECH">	tenký, útlý, jemný	<p>@<LEND>
<L>	2689	<pc>	117	<K1>	tanu	</K1><K2>	tanu	</K2>@<K2>	II tanu, tanū f.	</K2><p><LANG n = "RUSSIAN">	тело, форма, лицо, я, сущность; часто употребляется в качестве возвратного местоимения	</LANG><p><LANG n = "ENGLISH">	the body, form, person, self, nature; often used as reflexive pronoun	</LANG><p><LANG n = "CZECH">	tělo, tvar, osoba, já, podstata; často se užívá jako zvratné zájmeno	<p>@<LEND>
<L>	2690	<pc>	117	<K1>	tanutra	</K1><K2>	tanutra	</K2>@<K2>	tanutra, tanutrāṇa n.	</K2><p><LANG n = "RUSSIAN">	букв. "защита тела"; латы, панцырь	</LANG><p><LANG n = "ENGLISH">	lit. "body-guard"; armour 	</LANG><p><LANG n = "CZECH">	dosl. "chranič těla"; brnění, krunýř	<p>@<LEND>
<L>	2691	<pc>	117	<K1>	tanUja	</K1><K2>	tanUja	</K2>@<K2>	tanūja	</K2><p><LANG n = "RUSSIAN">	букв. "из тела рожденный"; m. сын; f. -ā дочь	</LANG><p><LANG n = "ENGLISH">	lit. "born from the body"; m. son; f. -ā daughter	</LANG><p><LANG n = "CZECH">	dosl. "z těla zrozený"; m. syn; f. -ā dcera	<p>@<LEND>
<L>	2692	<pc>	117	<K1>	tantra	</K1><K2>	tantra	</K2>@<K2>	tantra n.	</K2><p><LANG n = "RUSSIAN">	ткацкий станок, волокно, основа, доктрина, сочинение	</LANG><p><LANG n = "ENGLISH">	a loom, thread, warp of a web, rule, doctrine, book	</LANG><p><LANG n = "CZECH">	tkalcovský stav, vlákno, osnova, poučka, spis	<p>@<LEND>
<L>	2693	<pc>	117	<K1>	tantrI	</K1><K2>	tantrI	</K2>@<K2>	tantrī f.	</K2><p><LANG n = "RUSSIAN">	шнур, струна	</LANG><p><LANG n = "ENGLISH">	string, cord	</LANG><p><LANG n = "CZECH">	šňůra, struna	<p>@<LEND>
<L>	2694	<pc>	117	<K1>	tandrA	</K1><K2>	tandrA	</K2>@<K2>	tandrā, -ī f.	</K2><p><LANG n = "RUSSIAN">	усталость, исчерпанность	</LANG><p><LANG n = "ENGLISH">	fatigue, exhaustion 	</LANG><p><LANG n = "CZECH">	únava, vyčerpání	<p>@<LEND>
<L>	2695	<pc>	117	<K1>	tanvI	</K1><K2>	tanvI	</K2>@<K2>	tanvī f.	</K2><p><LANG n = "RUSSIAN">	хрупкая (девушка), женщина	</LANG><p><LANG n = "ENGLISH">	the slender one, woman	</LANG><p><LANG n = "CZECH">	útlá (dívka), žena	<p>@<LEND>
<L>	2696	<pc>	117	<K1>	tap	</K1><K2>	tap	</K2>@<K2>	√tap tapati, (-te), pp. tapta	</K2><p><LANG n = "RUSSIAN">	быть теплым, сиять, мучиться, жалеть, каяться; разогревать, сжигать, мучить	</LANG><p><LANG n = "ENGLISH">	to be warm, shine, be affected, repent, do penance; make hot, burn, distress	</LANG><p><LANG n = "CZECH">	býti teplý, zářiti, trápiti se, litovati, káti se; rozehřívati, spalovati, trápiti	<p>@<LEND>
<L>	2697	<pc>	117	<K1>	tapyate	</K1><K2>	tapyate	</K2>@<K2>	 +tapyate, (-ti) id. intr.	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	2698	<pc>	117	<K1>	tApayati	</K1><K2>	tApayati	</K2>@<K2>	 +caus. tāpayati	</K2><p><LANG n = "RUSSIAN">	распалять, мучить	</LANG><p><LANG n = "ENGLISH">	to make hot, cause pain	</LANG><p><LANG n = "CZECH">	rozpalovati, trápiti	<p>@<LEND>
<L>	2699	<pc>	117	<K1>	aBitap	</K1><K2>	aBitap	</K2>@<K2>	 +abhi (abhitap) 	</K2><p><LANG n = "RUSSIAN">	распалять (ся), мучить (ся) 	</LANG><p><LANG n = "ENGLISH">	to burn (trans. or intr.), distress, suffer pain	</LANG><p><LANG n = "CZECH">	rozehřívati (se), trápiti (se) 	<p>@<LEND>
<L>	2700	<pc>	117	<K1>	uttap	</K1><K2>	uttap	</K2>@<K2>	 +ud (uttap) id.	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	2701	<pc>	117	<K1>	pratap	</K1><K2>	pratap	</K2>@<K2>	 +pra (pratap) 	</K2><p><LANG n = "RUSSIAN">	пламенеть, сиять, сжигать	</LANG><p><LANG n = "ENGLISH">	to glow, shine, set on fire	</LANG><p><LANG n = "CZECH">	planouti, zářiti, spalovati	<p>@<LEND>
<L>	2702	<pc>	117	<K1>	saMtap	</K1><K2>	saMtap	</K2>@<K2>	 +sam (saṃtap) 	</K2><p><LANG n = "RUSSIAN">	распалять (ся), совершать аскетизм, терпеть	</LANG><p><LANG n = "ENGLISH">	to heat or be heated thoroughly, do penance, feel pain	</LANG><p><LANG n = "CZECH">	rozpalovati (se), konati askesi, trpěti	<p>@<LEND>
<L>	2703	<pc>	117	<K1>	tapatI	</K1><K2>	tapatI	</K2>@<K2>	tapatī f., n. pr.	</K2><p><LANG n = "RUSSIAN">	дочь бога солнца	</LANG><p><LANG n = "ENGLISH">	a daughter of the Sun 	</LANG><p><LANG n = "CZECH">	dcera boha Slunce	<p>@<LEND>
<L>	2704	<pc>	117	<K1>	tapana	</K1><K2>	tapana	</K2>@<K2>	tapana	</K2><p><LANG n = "RUSSIAN">	жгучий; m. солнце	</LANG><p><LANG n = "ENGLISH">	burning, shining; m. sun 	</LANG><p><LANG n = "CZECH">	žhnoucí; m. slunce	<p>@<LEND>
<L>	2705	<pc>	117	<K1>	tapant	</K1><K2>	tapant	</K2>@<K2>	tapant	</K2><p><LANG n = "RUSSIAN">	кающийся	</LANG><p><LANG n = "ENGLISH">	penitent	</LANG><p><LANG n = "CZECH">	kajícník	<p>@<LEND>
<L>	2706	<pc>	117	<K1>	tapaScaraRa	</K1><K2>	tapaScaraRa	</K2>@<K2>	tapaścaraṇa n.	</K2><p><LANG n = "RUSSIAN">	совершение аскетизма	</LANG><p><LANG n = "ENGLISH">	the practice of penance 	</LANG><p><LANG n = "CZECH">	provádění askese	<p>@<LEND>
<L>	2707	<pc>	117	<K1>	tapas	</K1><K2>	tapas	</K2>@<K2>	tapas n. 	</K2><p><LANG n = "RUSSIAN">	зной, жар, страдание, мучение, раскаяние, аскетизм	</LANG><p><LANG n = "ENGLISH">	heat, fire, suffering, pain, penance, ascetism	</LANG><p><LANG n = "CZECH">	vedro, žár, utrpení, strast, pokání, askese	<p>@<LEND>
<L>	2708	<pc>	117	<K1>	tapasvin	</K1><K2>	tapasvin	</K2>@<K2>	tapasvin	</K2><p><LANG n = "RUSSIAN">	бедствующий, кающийся, набожный	</LANG><p><LANG n = "ENGLISH">	distressed, practising austerities, pious	</LANG><p><LANG n = "CZECH">	trpící, kající se, zbožný	<p>@<LEND>
<L>	2709	<pc>	117	<K1>	tapoDana	</K1><K2>	tapoDana	</K2>@<K2>	tapodhana	</K2><p><LANG n = "RUSSIAN">	богатый раскаянием; m. великий аскет	</LANG><p><LANG n = "ENGLISH">	rich in penance; m. a great ascetic	</LANG><p><LANG n = "CZECH">	bohatý na pokání; m. velký asketa	<p>@<LEND>
<L>	2710	<pc>	117	<K1>	tapo'paharaRa	</K1><K2>	tapo'paharaRa	</K2>@<K2>	tapo'paharaṇa n.	</K2><p><LANG n = "RUSSIAN">	уничтожение заслуг, приобретенных вследствии покаяния	</LANG><p><LANG n = "ENGLISH">	annihilation of merits won by penance	</LANG><p><LANG n = "CZECH">	zničení zásluh získaných pokáním	<p>@<LEND>
<L>	2711	<pc>	118	<K1>	tapta	</K1><K2>	tapta	</K2>@<K2>	tapta (pp. < tap) 	</K2><p><LANG n = "RUSSIAN">	разгоряченный, жгучий, мученный, совершаемый (о покаянии) 	</LANG><p><LANG n = "ENGLISH">	inflamed, hot, distressed, undergone (said of penance) 	</LANG><p><LANG n = "CZECH">	rozpálený, žhavý, soužený, konaný (o pokání) 	<p>@<LEND>
<L>	2712	<pc>	118	<K1>	tam	</K1><K2>	tam	</K2>@<K2>	√tam tāmyati, -te, pp. tānta	</K2><p><LANG n = "RUSSIAN">	темнеть, упасть в обморок, быть истощенным	</LANG><p><LANG n = "ENGLISH">	to become darkened, faint, be exhausted	</LANG><p><LANG n = "CZECH">	tmíti se, omdlívati, zemdlívati	<p>@<LEND>
<L>	2713	<pc>	118	<K1>	tamas	</K1><K2>	tamas	</K2>@<K2>	tamas n.	</K2><p><LANG n = "RUSSIAN">	тьма, ослепление, невежество (как одно из трех свойств природы) 	</LANG><p><LANG n = "ENGLISH">	darkness, illusion, ignorance (as one of the three qualities of nature) 	</LANG><p><LANG n = "CZECH">	tma, zaslepení, nevědomost (jako jedna z tří vlastností přírody) 	<p>@<LEND>
<L>	2714	<pc>	118	<K1>	tamoBUta	</K1><K2>	tamoBUta	</K2>@<K2>	tamobhūta	</K2><p><LANG n = "RUSSIAN">	темный, покрытый тьмой	</LANG><p><LANG n = "ENGLISH">	dark, covered with darkness	</LANG><p><LANG n = "CZECH">	temný, pokrytý temnotami	<p>@<LEND>
<L>	2715	<pc>	118	<K1>	tar	</K1><K2>	tar	</K2>@<K2>	√tar tarati, -te, tirati, -te, tarute, titarti, pp. tīrṇa	</K2><p><LANG n = "RUSSIAN">	переходить (через реку), плыть, плавать; дойти до конца, окончить, спасти; med. спастись	</LANG><p><LANG n = "ENGLISH">	to cross over (a river), sail across, swimm; attain an end, save; med. to be saved	</LANG><p><LANG n = "CZECH">	přecházeti (řeku), plaviti se, plavati; dojíti konce, dokončiti, zachrániti; med. zachrániti se	<p>@<LEND>
<L>	2716	<pc>	118	<K1>	tArayati	</K1><K2>	tArayati	</K2>@<K2>	 +caus. tārayati	</K2><p><LANG n = "RUSSIAN">	переправлять, спасать	</LANG><p><LANG n = "ENGLISH">	to carry over, save	</LANG><p><LANG n = "CZECH">	přepravovati, zachraňovati	<p>@<LEND>
<L>	2717	<pc>	118	<K1>	titIrzati	</K1><K2>	titIrzati	</K2>@<K2>	desid. titīrṣati, -te	</K2><p><LANG n = "RUSSIAN">	желать переправиться	</LANG><p><LANG n = "ENGLISH">	to wish to cross	</LANG><p><LANG n = "CZECH">	chtíti se přepraviti	<p>@<LEND>
<L>	2718	<pc>	118	<K1>	avatar	</K1><K2>	avatar	</K2>@<K2>	 +ava (avatar) 	</K2><p><LANG n = "RUSSIAN">	сойти; caus. снять	</LANG><p><LANG n = "ENGLISH">	to descend; caus. to take down or off	</LANG><p><LANG n = "CZECH">	sestoupiti; caus. sejmouti	<p>@<LEND>
<L>	2719	<pc>	118	<K1>	uttar	</K1><K2>	uttar	</K2>@<K2>	 +ud (uttar) 	</K2><p><LANG n = "RUSSIAN">	перейти, выйти; caus. перевезти, снять	</LANG><p><LANG n = "ENGLISH">	to pass over, come out of; caus. to transport across, take down or off	</LANG><p><LANG n = "CZECH">	přejíti, vyjíti; caus. převézti, sejmouti	<p>@<LEND>
<L>	2720	<pc>	118	<K1>	nitar	</K1><K2>	nitar	</K2>@<K2>	 +ni (nitar) 	</K2><p><LANG n = "RUSSIAN">	снять, вынуть	</LANG><p><LANG n = "ENGLISH">	to draw down or off	</LANG><p><LANG n = "CZECH">	stáhnouti, vytáhnouti	<p>@<LEND>
<L>	2721	<pc>	118	<K1>	pratar	</K1><K2>	pratar	</K2>@<K2>	 +pra (pratar) 	</K2><p><LANG n = "RUSSIAN">	отправиться на море, вести, отводить, протягивать, продолжать (жизнь); med. жить долго	</LANG><p><LANG n = "ENGLISH">	to go to sea, lead, mislead, extend, prolong (the life); med. to live on	</LANG><p><LANG n = "CZECH">	vydati se na moře, vésti, sváděti, protahovati, prodloužiti (život); med. žíti dlouho	<p>@<LEND>
<L>	2722	<pc>	118	<K1>	taraNga	</K1><K2>	taraNga	</K2>@<K2>	taraṅga m.	</K2><p><LANG n = "RUSSIAN">	волна (воды), волнение	</LANG><p><LANG n = "ENGLISH">	a wave, waving 	</LANG><p><LANG n = "CZECH">	vlna (vody), vlnění	<p>@<LEND>
<L>	2723	<pc>	118	<K1>	tarala	</K1><K2>	tarala	</K2>@<K2>	tarala	</K2><p><LANG n = "RUSSIAN">	дрожащий, непостоянный	</LANG><p><LANG n = "ENGLISH">	trembling, unsteady 	</LANG><p><LANG n = "CZECH">	chvějící se, nestálý	<p>@<LEND>
<L>	2724	<pc>	118	<K1>	taravAri	</K1><K2>	taravAri	</K2>@<K2>	taravāri m.	</K2><p><LANG n = "RUSSIAN">	кинжал, меч	</LANG><p><LANG n = "ENGLISH">	dagger, sword	</LANG><p><LANG n = "CZECH">	dýka, meč	<p>@<LEND>
<L>	2725	<pc>	118	<K1>	tarasant	</K1><K2>	tarasant	</K2>@<K2>	tarasant, trasant p. pr. act. < tras, q. v. 	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	2726	<pc>	118	<K1>	taru	</K1><K2>	taru	</K2>@<K2>	taru m.	</K2><p><LANG n = "RUSSIAN">	дерево	</LANG><p><LANG n = "ENGLISH">	a tree	</LANG><p><LANG n = "CZECH">	strom	<p>@<LEND>
<L>	2727	<pc>	118	<K1>	taruRa	</K1><K2>	taruRa	</K2>@<K2>	taruṇa (f. -ī) 	</K2><p><LANG n = "RUSSIAN">	молодой, нежный, новый; m. юноша	</LANG><p><LANG n = "ENGLISH">	young, tender, new; m. a young man	</LANG><p><LANG n = "CZECH">	mladý, útlý, nový; m. jinoch	<p>@<LEND>
<L>	2728	<pc>	118	<K1>	taruRI	</K1><K2>	taruRI	</K2>@<K2>	 +taruṇī f.	</K2><p><LANG n = "RUSSIAN">	девушка	</LANG><p><LANG n = "ENGLISH">	а young woman	</LANG><p><LANG n = "CZECH">	mladá žena	<p>@<LEND>
<L>	2729	<pc>	118	<K1>	tark	</K1><K2>	tark	</K2>@<K2>	√tark tarkayati	</K2><p><LANG n = "RUSSIAN">	наблюдать, видеть, исследовать, обдумывать, считать	</LANG><p><LANG n = "ENGLISH">	to observe, see, examine, reflect, regard as	</LANG><p><LANG n = "CZECH">	pozorovati, viděti, zkoumati, uvažovati, pokládati zač	<p>@<LEND>
<L>	2730	<pc>	118	<K1>	saMtark	</K1><K2>	saMtark	</K2>@<K2>	 +saṃ (saṃtark) 	</K2><p><LANG n = "RUSSIAN">	считать кого кем	</LANG><p><LANG n = "ENGLISH">	to consider (with double acc.) 	</LANG><p><LANG n = "CZECH">	pokládati koho zač	<p>@<LEND>
<L>	2731	<pc>	118	<K1>	tarka	</K1><K2>	tarka	</K2>@<K2>	tarka m.	</K2><p><LANG n = "RUSSIAN">	догадка, сомнение, рассуждение, логика	</LANG><p><LANG n = "ENGLISH">	conjecture, doubt, speculation, logic	</LANG><p><LANG n = "CZECH">	dohad, pochyba, úvaha, logika	<p>@<LEND>
<L>	2732	<pc>	118-119	<K1>	tarj	</K1><K2>	tarj	</K2>@<K2>	√tarj tarjati, pp. tarjita	</K2><p><LANG n = "RUSSIAN">	грозить, запугивать	</LANG><p><LANG n = "ENGLISH">	to threaten, frighten 	</LANG><p><LANG n = "CZECH">	hroziti, zastrašovati	<p>@<LEND>
<L>	2733	<pc>	119	<K1>	tarjana	</K1><K2>	tarjana	</K2>@<K2>	tarjana n.	</K2><p><LANG n = "RUSSIAN">	угроза	</LANG><p><LANG n = "ENGLISH">	threatening, frightening	</LANG><p><LANG n = "CZECH">	hrozba, vyhrožování	<p>@<LEND>
<L>	2734	<pc>	119	<K1>	tarp	</K1><K2>	tarp	</K2>@<K2>	√tarp tṛpyati, -te, (tarpati), pp. tṛpta	</K2><p><LANG n = "RUSSIAN">	насыщаться, тешиться	</LANG><p><LANG n = "ENGLISH">	to become satiated, be pleased 	</LANG><p><LANG n = "CZECH">	sytiti se, těšiti se	<p>@<LEND>
<L>	2735	<pc>	119	<K1>	tarpayati	</K1><K2>	tarpayati	</K2>@<K2>	 +caus. tarpayati, pp. tarpita	</K2><p><LANG n = "RUSSIAN">	насытить, радовать	</LANG><p><LANG n = "ENGLISH">	to satiate, gladden 	</LANG><p><LANG n = "CZECH">	sytiti, těšiti	<p>@<LEND>
<L>	2736	<pc>	119	<K1>	tarpaRa	</K1><K2>	tarpaRa	</K2>@<K2>	tarpaṇa (f. -ī) 	</K2><p><LANG n = "RUSSIAN">	насыщающий	</LANG><p><LANG n = "ENGLISH">	satiating	</LANG><p><LANG n = "CZECH">	sytící	<p>@<LEND>
<L>	2737	<pc>	119	<K1>	tarpita	</K1><K2>	tarpita	</K2>@<K2>	tarpita	</K2><p><LANG n = "RUSSIAN">	насыщенный, удовлетворенный	</LANG><p><LANG n = "ENGLISH">	satiated, satisfied	</LANG><p><LANG n = "CZECH">	nasycen, uspokojen	<p>@<LEND>
<L>	2738	<pc>	119	<K1>	tarz	</K1><K2>	tarz	</K2>@<K2>	√tarṣ tṛṣyati, pp. tṛṣita	</K2><p><LANG n = "RUSSIAN">	жаждать, алкать	</LANG><p><LANG n = "ENGLISH">	to be thirsty, thirst for 	</LANG><p><LANG n = "CZECH">	žízniti, dyclititi	<p>@<LEND>
<L>	2739	<pc>	119	<K1>	tarza	</K1><K2>	tarza	</K2>@<K2>	tarṣa m.	</K2><p><LANG n = "RUSSIAN">	жажда, стремление, желание	</LANG><p><LANG n = "ENGLISH">	thirst, desire	</LANG><p><LANG n = "CZECH">	žízeň, touha	<p>@<LEND>
<L>	2740	<pc>	119	<K1>	tarhi	</K1><K2>	tarhi	</K2>@<K2>	tarhi adv.	</K2><p><LANG n = "RUSSIAN">	тогда, в таком случае, поэтому	</LANG><p><LANG n = "ENGLISH">	at that time, then, therefore 	</LANG><p><LANG n = "CZECH">	tehdy, tedy, protо	<p>@<LEND>
<L>	2741	<pc>	119	<K1>	tala	</K1><K2>	tala	</K2>@<K2>	tala n.	</K2><p><LANG n = "RUSSIAN">	поверхность, плоскость, нижняя часть	</LANG><p><LANG n = "ENGLISH">	surface, level, bottom 	</LANG><p><LANG n = "CZECH">	povrch, rovina, spodní část	<p>@<LEND>
<L>	2742	<pc>	119	<K1>	talpa	</K1><K2>	talpa	</K2>@<K2>	talpa m.	</K2><p><LANG n = "RUSSIAN">	ложе, кушетка	</LANG><p><LANG n = "ENGLISH">	а bed, couch 	</LANG><p><LANG n = "CZECH">	lože, lehátko	<p>@<LEND>
<L>	2743	<pc>	119	<K1>	tavas	</K1><K2>	tavas	</K2>@<K2>	tavas	</K2><p><LANG n = "RUSSIAN">	сильный, отважный	</LANG><p><LANG n = "ENGLISH">	strong, audacious 	</LANG><p><LANG n = "CZECH">	silný, odvážný	<p>@<LEND>
<L>	2744	<pc>	119	<K1>	tavyaMs	</K1><K2>	tavyaMs	</K2>@<K2>	tavyaṃs, tavīyaṃs compar.	</K2><p><LANG n = "RUSSIAN">	более сильный	</LANG><p><LANG n = "ENGLISH">	stronger	</LANG><p><LANG n = "CZECH">	silnější	<p>@<LEND>
<L>	2745	<pc>	119	<K1>	taskara	</K1><K2>	taskara	</K2>@<K2>	taskara m. -tā f. abstr.	</K2><p><LANG n = "RUSSIAN">	вор, грабитель	</LANG><p><LANG n = "ENGLISH">	а thief, robber 	</LANG><p><LANG n = "CZECH">	zloděj, lupič	<p>@<LEND>
<L>	2746	<pc>	119	<K1>	tasmAt	</K1><K2>	tasmAt	</K2>@<K2>	tasmāt adv. (abl. < ta) 	</K2><p><LANG n = "RUSSIAN">	отсюда, поэтому	</LANG><p><LANG n = "ENGLISH">	from that, therefore 	</LANG><p><LANG n = "CZECH">	odtud, proto	<p>@<LEND>
<L>	2747	<pc>	119	<K1>	tAqana	</K1><K2>	tAqana	</K2>@<K2>	tāḍana n.	</K2><p><LANG n = "RUSSIAN">	битье, удар	</LANG><p><LANG n = "ENGLISH">	beating, striking, stroke	</LANG><p><LANG n = "CZECH">	bití, udeření	<p>@<LEND>
<L>	2748	<pc>	119	<K1>	tAqya	</K1><K2>	tAqya	</K2>@<K2>	tāḍya	</K2><p><LANG n = "RUSSIAN">	тот, который должен быть битым, заслуживающий наказание	</LANG><p><LANG n = "ENGLISH">	to be beaten or punished	</LANG><p><LANG n = "CZECH">	mající býti bit, trestuhodný	<p>@<LEND>
<L>	2749	<pc>	119	<K1>	tAt	</K1><K2>	tAt	</K2>@<K2>	tāt adv. (abl. < ta) 	</K2><p><LANG n = "RUSSIAN">	так, потом, поэтому	</LANG><p><LANG n = "ENGLISH">	thus, then, therefore 	</LANG><p><LANG n = "CZECH">	tak, potom, proto	<p>@<LEND>
<L>	2750	<pc>	119	<K1>	tAta	</K1><K2>	tAta	</K2>@<K2>	tāta m. 	</K2><p><LANG n = "RUSSIAN">	отец; voc. милый!	</LANG><p><LANG n = "ENGLISH">	a father; voc. my dear!	</LANG><p><LANG n = "CZECH">	otec; voc. můj milý!	<p>@<LEND>
<L>	2751	<pc>	119	<K1>	tAtfpARa	</K1><K2>	tAtfpARa	</K2>@<K2>	tātṛpāṇa (p. pf. med. < tarp) 	</K2><p><LANG n = "RUSSIAN">	насыщенный	</LANG><p><LANG n = "ENGLISH">	satiated	</LANG><p><LANG n = "CZECH">	nasycen	<p>@<LEND>
<L>	2752	<pc>	119	<K1>	tAttvika	</K1><K2>	tAttvika	</K2>@<K2>	tāttvika	</K2><p><LANG n = "RUSSIAN">	правдивый, действительный, основанный на действительности	</LANG><p><LANG n = "ENGLISH">	true, real	</LANG><p><LANG n = "CZECH">	pravdivý, skutečný, založený na skutečnosti	<p>@<LEND>
<L>	2753	<pc>	119	<K1>	tAtparya	</K1><K2>	tAtparya	</K2>@<K2>	tātparya n.	</K2><p><LANG n = "RUSSIAN">	собственная цель или смысл	</LANG><p><LANG n = "ENGLISH">	true purpose or meaning 	</LANG><p><LANG n = "CZECH">	vlastní účel nebo smysl	<p>@<LEND>
<L>	2754	<pc>	119	<K1>	tAdfgguRa	</K1><K2>	tAdfgguRa	</K2>@<K2>	tādṛgguṇa	</K2><p><LANG n = "RUSSIAN">	таких свойств	</LANG><p><LANG n = "ENGLISH">	of such qualities 	</LANG><p><LANG n = "CZECH">	takových vlastností	<p>@<LEND>
<L>	2755	<pc>	119	<K1>	tAdfS	</K1><K2>	tAdfS	</K2>@<K2>	tādṛś	</K2><p><LANG n = "RUSSIAN">	такой	</LANG><p><LANG n = "ENGLISH">	such like, such 	</LANG><p><LANG n = "CZECH">	takový	<p>@<LEND>
<L>	2756	<pc>	119	<K1>	tAdfSa	</K1><K2>	tAdfSa	</K2>@<K2>	tādṛśa (f. -ī) v. tādṛś	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	2757	<pc>	119	<K1>	tApa	</K1><K2>	tApa	</K2>@<K2>	tāpa m.	</K2><p><LANG n = "RUSSIAN">	жар, скорбь, мучение	</LANG><p><LANG n = "ENGLISH">	heat, sorrow, distress 	</LANG><p><LANG n = "CZECH">	žár, trápení, strast	<p>@<LEND>
<L>	2758	<pc>	119	<K1>	tApatya	</K1><K2>	tApatya	</K2>@<K2>	tāpatya m.	</K2><p><LANG n = "RUSSIAN">	сын или вообще потомок Тапати	</LANG><p><LANG n = "ENGLISH">	son or any descendant of Tapati 	</LANG><p><LANG n = "CZECH">	syn nebo vůbec potomek Tapati	<p>@<LEND>
<L>	2759	<pc>	119	<K1>	tApasa	</K1><K2>	tApasa	</K2>@<K2>	tāpasa m.	</K2><p><LANG n = "RUSSIAN">	аскет	</LANG><p><LANG n = "ENGLISH">	an ascetic	</LANG><p><LANG n = "CZECH">	asketa	<p>@<LEND>
